wavenumber,abs,,
10695.02923,0.98855,62.2748,59.18578799
10694.99023,1.00623,61.85048,58.9838071
10694.96023,0.96814,62.76464,59.4181033
10694.92523,0.96224,62.90624,59.48509057
10694.89223,0.977,62.552,59.31736677
10694.86423,0.97733,62.54408,59.31361142
10694.84123,0.96166,62.92016,59.49167169
10694.66423,0.96383,62.86808,59.4670455
10694.64423,0.96476,62.84576,59.45648829
10694.62823,0.96734,62.78384,59.42719075
10694.59223,0.99019,62.23544,59.16708122
10694.55523,0.9666,62.8016,59.4355954
10694.51423,0.9644,62.8544,59.46057517
10694.47623,0.95499,63.08024,59.56730227
10694.47223,0.98601,62.33576,59.21474901
10694.43923,0.97292,62.64992,59.36377683
10694.40423,0.9551,63.0776,59.56605577
10694.36923,0.9646,62.8496,59.45830472
10694.33123,0.96162,62.92112,59.49212553
10694.28923,0.93915,63.4604,59.7465271
10694.25223,0.94291,63.37016,59.70403253
10694.21623,0.93484,63.56384,59.79520048
10694.18523,0.93813,63.48488,59.75804967
10694.15023,0.94349,63.35624,59.69747482
10694.11323,0.93383,63.58808,59.80660081
10694.08023,0.94461,63.32936,59.68480963
10694.04523,0.93228,63.62528,59.82409214
10694.01323,0.96198,62.91248,59.48804081
10693.98623,0.89089,64.61864,60.28929009
10693.82323,0.9242,63.8192,59.91519006
10693.78923,0.92235,63.8636,59.9360284
10693.77723,0.91488,64.04288,60.02009663
10693.75023,0.90462,64.28912,60.13537229
10693.70723,0.89118,64.61168,60.28604316
10693.69623,0.90526,64.27376,60.12818807
10693.66923,0.89985,64.4036,60.18889017
10693.63223,0.91494,64.04144,60.01942186
10693.59823,0.91039,64.15064,60.070571
10693.56123,0.91926,63.93776,59.9708179
10693.52123,0.90087,64.37912,60.1774501
10693.48123,0.90175,64.358,60.16757848
10693.44723,0.92745,63.7412,59.87856461
10693.41323,0.92136,63.88736,59.94717675
10693.37823,0.92102,63.89552,59.951005
10693.34323,0.90656,64.24256,60.11359247
10693.30823,0.90063,64.38488,60.18014207
10693.27323,0.90162,64.36112,60.16903689
10693.23723,0.92215,63.8684,59.93828076
10693.19723,0.89529,64.51304,60.24000747
10693.16523,0.92151,63.88376,59.94548774
10693.07623,0.91561,64.02536,60.01188632
10692.98323,0.93303,63.60728,59.81562923
10692.94223,0.90115,64.3724,60.1743093
10692.93623,0.93267,63.61592,59.81969157
10692.90123,0.91988,63.92288,59.9638391
10692.86423,0.93138,63.64688,59.83424605
10692.82923,0.91753,63.97928,59.99028671
10692.79323,0.96076,62.94176,59.50188232
10692.78223,0.9513,63.1688,59.60910165
10692.74723,0.92943,63.69368,59.85624028
10692.71123,0.93631,63.52856,59.77860403
10692.67323,0.94447,63.33272,59.68639292
10692.63923,0.9348,63.5648,59.79565202
10692.60323,0.93825,63.482,59.75669419
10692.56923,0.93655,63.5228,59.77589397
10692.53123,0.94036,63.43136,59.73285528
10692.49723,0.96422,62.85872,59.46261851
10692.46223,0.94963,63.20888,59.62800936
10692.42623,0.94573,63.30248,59.67214174
10692.39023,0.95716,63.02816,59.54270736
10692.36223,0.96323,62.88248,59.4738556
10692.33423,0.9744,62.6144,59.346946
10692.32323,0.98246,62.42096,59.2552023
10692.13623,0.97212,62.66912,59.37287259
10692.11423,0.96996,62.72096,59.39742419
10692.09623,0.972,62.672,59.37423684
10692.05923,0.96485,62.8436,59.45546653
10692.02323,0.96379,62.86904,59.46749953
10691.98523,0.95934,62.97584,59.51798888
10691.94523,0.96466,62.84816,59.45762357
10691.93823,0.97502,62.59952,59.33989383
10691.90723,0.95538,63.07088,59.56288274
10691.87223,0.97651,62.56376,59.32294244
10691.83623,0.966,62.816,59.4424091
10691.80223,0.99073,62.22248,59.16092038
10691.76223,0.98035,62.4716,59.27923329
10691.72823,0.96699,62.79224,59.43116607
10691.68723,0.98645,62.3252,59.20973315
10691.64923,0.98728,62.30528,59.20027027
10691.61223,0.97395,62.6252,59.35206399
10691.57123,0.97134,62.68784,59.38173962
10691.53723,0.98616,62.33216,59.2130391
10691.50723,0.98144,62.44544,59.2668204
10691.47123,0.98106,62.45456,59.27114812
10691.43923,0.9789,62.5064,59.29574184
10691.36323,0.97325,62.642,59.36002443
10691.28823,0.99166,62.20016,59.15030854
10691.25223,0.99755,62.0588,59.08305595
10691.21723,0.9799,62.4824,59.28435713
10691.21023,0.98524,62.35424,59.22352573
10691.17123,0.97298,62.64848,59.3630946
10691.13423,0.98083,62.46008,59.27376738
10691.09723,0.98112,62.45312,59.27046482
10691.06223,0.97956,62.49056,59.28822817
10691.02723,0.97878,62.50928,59.29710786
10690.99323,0.98007,62.47832,59.28242151
10690.95823,0.9864,62.3264,59.21030316
10690.92123,0.98136,62.44736,59.26773152
10690.87923,1.01213,61.70888,58.91624988
10690.84623,0.99737,62.06312,59.08511234
10690.80823,0.9724,62.6624,59.36968924
10690.77323,0.99801,62.04776,59.0778004
10690.73923,0.97748,62.54048,59.31190437
10690.70523,1.00879,61.78904,58.95450364
10690.67423,0.97869,62.51144,59.29813235
10690.67323,0.9733,62.6408,59.35945586
10690.64823,0.98489,62.36264,59.22751472
10690.44623,0.98601,62.33576,59.21474901
10690.40823,0.99699,62.07224,59.08945337
10690.39823,0.99382,62.14832,59.12565433
10690.37223,0.98052,62.46752,59.27729751
10690.33423,0.97111,62.69336,59.384354
10690.29523,0.99311,62.16536,59.13375939
10690.26023,0.99436,62.13536,59.11948917
10690.25323,1.00664,61.84064,58.97911495
10690.22523,0.99266,62.17616,59.13889583
10690.18723,1.01214,61.70864,58.91613531
10690.15423,0.99131,62.20856,59.15430246
10690.10723,0.9738,62.6288,59.35376989
10690.06823,1.01855,61.5548,58.84265035
10690.03123,0.99515,62.1164,59.11046862
10689.99623,0.99205,62.1908,59.14585784
10689.96323,0.99433,62.13608,59.1198317
10689.92923,0.97176,62.67776,59.37696523
10689.89323,0.98692,62.31392,59.20437484
10689.88323,0.97612,62.57312,59.32737985
10689.86023,0.9683,62.7608,59.41628565
10689.83023,0.97188,62.67488,59.37560105
10689.80623,0.99139,62.20664,59.15338959
10689.60323,1.00586,61.85936,58.98804116
10689.56623,0.98595,62.3372,59.21543295
10689.55723,0.99478,62.12528,59.1146936
10689.52323,1.0013,61.9688,59.04019817
10689.49123,1.00677,61.83752,58.97762711
10689.45223,1.00251,61.93976,59.02636275
10689.41623,0.9949,62.1224,59.11332337
10689.40123,0.99334,62.15984,59.13113393
10689.38323,0.98278,62.41328,59.25155694
10689.33923,1.00844,61.79744,58.95851084
10689.29823,0.99218,62.18768,59.1443742
10689.26323,0.98948,62.25248,59.17518061
10689.22923,1.0098,61.7648,58.94293851
10689.19623,1.00853,61.79528,58.95748044
10689.16123,0.98962,62.24912,59.17358363
10689.12423,0.96343,62.87768,59.47158565
10689.08123,0.98983,62.24408,59.17118809
10689.04123,0.9974,62.0624,59.08476961
10689.00523,0.99976,62.00576,59.05780219
10688.96623,0.98373,62.39048,59.24073345
10688.93223,0.98961,62.24936,59.1736977
10688.90923,0.99003,62.23928,59.16890653
10688.89823,1.01629,61.60904,58.86856971
10688.75923,0.98568,62.34368,59.21851062
10688.71923,0.98556,62.34656,59.21987842
10688.68323,1.01471,61.64696,58.88668355
10688.65923,0.97599,62.57624,59.32885891
10688.64623,1.00355,61.9148,59.01446856
10688.61023,0.99225,62.186,59.14357531
10688.56523,0.97884,62.50784,59.29642485
10688.52523,1.00021,61.99496,59.0526587
10688.48823,0.98993,62.24168,59.17004732
10688.45423,0.99276,62.17376,59.13775444
10688.42123,1.01049,61.74824,58.93503627
10688.38723,0.98023,62.47448,59.28059969
10688.34923,0.98176,62.43776,59.26317575
10688.31123,0.97629,62.56904,59.32544564
10688.27523,0.99365,62.1524,59.12759508
10688.23823,1.00066,61.98416,59.04751477
10688.20523,0.97647,62.56472,59.32339758
10688.17323,0.99653,62.08328,59.09470788
10688.13723,0.98615,62.3324,59.2131531
10688.09623,0.99021,62.23496,59.16685305
10688.07123,1.013,61.688,58.9062815
10687.91823,0.99823,62.04248,59.07528671
10687.87823,0.98637,62.32712,59.21064516
10687.84623,0.9932,62.1632,59.13273205
10687.84223,1.00649,61.84424,58.98083163
10687.80423,0.99286,62.17136,59.13661302
10687.76523,1.01501,61.63976,58.88324465
10687.72523,1.00676,61.83776,58.97774156
10687.72523,0.97999,62.48024,59.2833324
10687.69023,1.0139,61.6664,58.8959676
10687.65723,1.00248,61.94048,59.02670582
10687.62323,1.01055,61.7468,58.93434907
10687.58623,0.9869,62.3144,59.20460286
10687.54523,1.01174,61.71824,58.92071792
10687.50523,1.00639,61.84664,58.98197606
10687.46923,1.00856,61.79456,58.95713697
10687.43123,1.00596,61.85696,58.98689685
10687.39323,1.01004,61.75904,58.94019002
10687.35523,1.01744,61.58144,58.85538208
10687.32423,0.9898,62.2448,59.17153032
10687.29223,1.01499,61.64024,58.88347391
10687.25723,0.99331,62.16056,59.13147639
10687.19323,0.99318,62.16368,59.13296035
10687.03423,0.98241,62.42216,59.25577187
10687.01723,0.98093,62.45768,59.27262859
10686.99523,0.99285,62.1716,59.13672717
10686.95423,1.01523,61.63448,58.88072265
10686.91823,0.98863,62.27288,59.1848756
10686.88423,1.00816,61.80416,58.96171639
10686.87223,1.02679,61.35704,58.74805103
10686.84823,0.9944,62.1344,59.11903247
10686.84523,1.01889,61.54664,58.83874999
10686.81223,0.9907,62.2232,59.16126266
10686.77323,0.99647,62.08472,59.09539322
10686.73323,0.99393,62.14568,59.12439852
10686.70223,1.01058,61.74608,58.93400546
10686.66123,1.00031,61.99256,59.05151565
10686.62723,0.98998,62.24048,59.16947693
10686.59223,1.00491,61.88216,58.99891101
10686.55723,1.00469,61.88744,59.00142795
10686.52423,1.00439,61.89464,59.00485997
10686.48523,1.01975,61.526,58.82888321
10686.45123,1.00708,61.83008,58.97407905
10686.41523,1.01694,61.59344,58.8611162
10686.38723,0.98384,62.38784,59.23948008
10686.37623,1.01433,61.65608,58.89103922
10686.23623,0.99254,62.17904,59.14026547
10686.19723,1.00103,61.97528,59.04328497
10686.18723,1.00752,61.81952,58.96904273
10686.15923,0.99632,62.08832,59.09710653
